filename,ipBasedUrl,ageDomainName,nonMatchingDomain,nonModalDomain,useHTML,numATags,numDomains,numDots,useJavaScript,urlImage,numFormTags,phishing
Phishing1,1,0,0,0,1,1,1,5,0,0,0,1
Phishing2,1,0,0,0,1,1,1,5,0,0,0,1
Phishing3,0,0,1,0,1,2,2,5,0,0,0,1
Phishing4,0,0,1,0,1,2,3,6,0,1,0,1
Phishing5,0,0,1,0,1,2,2,18,0,0,0,1
Phishing6,1,0,0,1,1,1,2,7,0,1,0,1
Phishing7,0,0,1,0,1,1,2,4,0,0,0,1
Phishing8,0,0,1,0,1,2,2,18,0,0,0,1
Phishing9,1,0,1,0,1,3,2,5,0,1,0,1
Phishing10,0,0,1,0,1,2,4,3,0,1,0,1
Phishing11,0,0,1,0,1,4,2,3,0,1,0,1
Phishing12,0,0,1,0,1,2,2,18,0,0,0,1
Phishing13,0,0,1,0,1,4,2,3,0,1,0,1
Phishing14,0,0,1,0,1,4,2,3,0,1,0,1
Phishing15,0,0,1,0,1,4,3,3,0,1,0,1
Phishing16,0,0,1,0,1,4,2,2,0,0,0,1
Phishing17,1,0,1,0,1,2,3,4,0,1,0,1
Phishing18,0,0,1,0,1,4,3,3,0,1,0,1
Phishing19,0,0,1,0,1,4,3,3,0,1,0,1
Phishing20,0,0,0,1,1,7,2,3,0,1,0,1
Phishing21,1,0,1,0,1,1,2,5,0,0,0,1
Phishing22,0,0,1,0,1,4,2,3,0,1,0,1
Phishing23,1,0,0,1,1,4,3,5,0,1,0,1
Phishing24,1,0,1,0,1,3,2,4,0,1,0,1
Phishing25,0,0,1,0,1,2,2,5,0,0,0,1
Phishing26,0,0,0,1,1,3,4,6,0,1,0,1
Phishing27,0,0,1,0,1,1,2,3,0,1,0,1
Phishing28,1,0,0,0,1,1,1,5,0,0,0,1
Phishing29,1,0,1,0,1,3,2,4,0,1,0,1
Phishing30,1,0,1,0,1,7,5,7,0,1,0,1
Phishing31,0,0,0,0,1,1,1,5,0,0,0,1
Phishing32,0,0,0,0,1,1,1,5,0,0,0,1
Phishing33,0,0,1,0,1,1,2,3,0,1,0,1
Phishing34,0,0,1,0,1,1,4,3,0,1,0,1
Phishing35,0,0,1,0,1,4,2,3,0,1,0,1
Phishing36,1,0,1,0,1,1,2,5,0,0,0,1
Phishing37,1,0,1,0,1,3,2,4,0,1,0,1
Phishing38,0,0,1,0,1,4,3,5,0,1,0,1
Phishing39,0,0,1,0,1,1,3,7,0,1,0,1
Phishing40,0,0,0,1,1,9,4,5,0,1,0,1
Phishing41,0,0,1,0,1,1,2,2,0,0,0,1
Phishing42,0,0,1,0,1,1,2,4,0,1,0,1
Phishing43,0,0,1,0,1,2,2,5,0,0,0,1
Phishing44,0,0,1,0,1,1,2,4,0,1,0,1
Phishing45,0,0,0,0,1,1,1,3,0,1,0,1
Phishing46,1,0,1,0,1,2,2,4,0,0,0,1
Phishing47,0,0,1,0,1,3,2,4,0,1,0,1
Phishing48,1,0,1,1,1,5,2,3,0,1,0,1
Phishing49,1,0,0,0,1,1,1,6,0,0,0,1
Phishing50,0,0,0,0,1,3,1,3,0,1,0,1
Phishing51,0,0,1,0,1,1,2,4,0,0,0,1
Phishing52,0,0,1,0,1,4,2,4,0,1,0,1
Phishing53,1,0,0,0,1,1,1,5,0,0,0,1
Phishing54,0,0,0,0,1,1,1,3,0,0,0,1
Phishing55,0,0,0,0,1,1,1,3,0,0,0,1
Phishing56,0,0,1,0,1,1,2,4,0,0,0,1
Phishing57,1,0,1,0,1,1,4,3,0,0,0,1
Phishing58,0,0,0,0,1,1,1,3,0,0,0,1
Phishing59,0,0,0,0,1,1,1,3,0,0,0,1
Phishing60,0,0,0,0,1,5,0,0,0,1,0,1
Phishing61,1,0,1,0,1,9,3,4,0,1,0,1
Phishing62,1,0,0,1,1,3,2,10,0,1,0,1
Phishing63,0,0,1,0,1,7,2,3,0,1,0,1
Phishing64,0,0,0,1,1,5,4,5,1,1,0,1
Phishing65,0,0,0,1,1,1,4,4,0,1,0,1
Phishing66,1,0,1,0,1,1,4,3,0,0,0,1
Phishing67,0,0,0,0,1,1,0,0,0,1,0,1
Phishing68,1,0,1,0,1,3,2,3,0,1,0,1
Phishing69,1,0,1,0,1,2,2,6,0,1,0,1
Phishing70,1,0,0,0,1,11,3,9,0,0,0,1
Phishing71,0,0,1,0,1,2,2,5,0,1,0,1
Phishing72,0,0,1,0,1,12,3,5,0,1,0,1
Phishing73,1,0,1,0,1,1,2,3,0,0,0,1
Phishing74,1,0,1,0,1,3,2,3,0,1,0,1
Phishing75,1,0,0,1,1,1,3,7,0,1,0,1
Phishing76,1,0,0,1,1,1,3,7,0,1,0,1
Phishing77,0,0,1,0,1,2,2,5,0,1,0,1
Phishing78,1,0,0,1,1,3,2,10,0,1,0,1
Phishing79,0,0,0,1,1,1,4,4,0,1,0,1
Phishing80,0,0,1,0,1,1,2,2,0,0,0,1
Phishing81,0,0,1,0,1,1,2,4,0,1,0,1
Phishing82,0,0,1,0,1,2,4,5,0,1,0,1
Phishing83,0,0,0,1,1,3,2,5,0,1,0,1
Phishing84,1,0,1,0,1,2,2,7,0,1,0,1
Phishing85,1,0,1,0,1,2,2,7,0,1,0,1
Phishing86,0,0,1,0,1,1,3,7,0,1,0,1
Phishing87,1,0,1,0,1,1,2,3,0,0,0,1
Phishing88,0,0,0,0,1,5,2,3,0,1,0,1
Phishing89,1,0,1,0,1,2,2,4,0,1,0,1
Phishing90,0,0,0,0,1,7,3,5,0,1,1,1
Phishing91,0,0,0,0,1,1,1,2,0,0,0,1
Phishing92,0,0,0,0,1,1,1,2,0,0,0,1
Phishing93,0,0,0,0,1,1,2,2,0,1,0,1
Phishing94,0,0,0,0,1,1,2,2,0,1,0,1
Phishing95,0,0,1,0,1,5,3,13,0,1,0,1
Phishing96,0,0,0,0,1,0,0,0,0,0,0,1
